Academic Program,Major Transcript Title,Major CIP Code
"BA-PHJO: Public Health and Journalism, BA",Public Health/Journalism,512201
"BA-PHSO: Public Health and Sociology, BA",Public Health/Sociology,512201
"CERTG-PUHI: Public History, Graduate Certificate",Public History,540105
"MPP-PUPL: Public Policy, MPP",Public Policy,440401
"PHD-PUPL: Public Policy, PhD",Public Policy,440401
"PHD-PUPL-A: Public Policy, PhD—Advanced Entry",Public Policy,440401
"CERTG-PUPA: Public Policy Analysis, Graduate Certificate",Public Policy Analysis,440501
"BA-PUBR: Public Relations, BA",Public Relations,090902
"P-CERTG-QASC: Quality Assurance Compliance, Graduate Certificate",Quality Assurance Compliance,510720
"MSFMBA-QFBA: Quantitative Finance and Business Administration, MSFMBA",Quant Finance/Business Admin,270305
"MSF-QFIN: Quantitative Finance, MSF",Quantitative Finance,270305
"P-MS-REAF: Regulatory Affairs, MS",Regulatory Affairs,512009
"BA-REST: Religious Studies, BA",Religious Studies,380201
"BA-RSAS: Religious Studies and Africana Studies, BA",Religious Studies/Africana St.,380201
"P-CERTG-RESE: Remote Sensing, Graduate Certificate",Remote Sensing,450799
"CERTG-ERES: Renewable Energy, Graduate Certificate",Renewable Energy,142701
"MS-RESS: Resilience Studies, MS",Resilience Studies,450999
"MS-ROBO: Robotics, MS",Robotics,144201
"MS-ROBO-CSCI: Robotics with Concentration in Computer Science, MS",Robotics,144201
"MS-ROBO-ELCE: Robotics with Concentration in Electrical and Computer Engineering, MS",Robotics,144201
"MS-ROBO-MECE: Robotics with Concentration in Mechanical Engineering, MS",Robotics,144201
"MS-RWEH: Real-World Evidence in Healthcare and Life Sciences, MS",RWE in Healthcare and Life Sci,300601
"P-CERTG-SMGT: Sales Management, Graduate Certificate",Sales Management,521804
"CAGS-SCPS: School Psychology, CAGS",School Psychology,422805
"PHD-SCPS-BSE: School Psychology, PhD",School Psychology,422805
"PHD-SCPS-MSE: School Psychology, PhD—Advanced Entry",School Psychology,422805
"P-MAT-SCED: Secondary Education, MAT",Secondary Education,131205
"CERTG-SERE: Security and Resilience Studies, Graduate Certificate",Security  Resilience Studies,450999
"MS-SERE: Security and Resilience Studies, MS",Security  Resilience Studies,450999
"MS-SERE-EX: Security and Resilience Studies, MS—Experiential",Security  Resilience Studies,450999
"P-MA-SCIS: Security and Intelligence Studies, MA",Security and Intelligence Stud,430399
"MS-SCEN: Semiconductor Engineering, MS",Semiconductor Engineering,151601
"MA-SSED: Single Subject Education, MA",Single Subject Education,131205
"P-CERTG-SMOP: Social Media for Organizational Performance, Graduate Certificate",Social Media for Org Perform,090101
"BA-SOCI: Sociology, BA",Sociology,451101
"BS-SOCI: Sociology, BS",Sociology,451101
"MA-SOCI: Sociology, MA",Sociology,451101
"PHD-SOCI: Sociology, PhD",Sociology,451101
"PHD-SOCI-A: Sociology, PhD—Advanced Entry",Sociology,451101
"BA-SOCA: Sociology and Cultural Anthropology, BA",Sociology/Cultural Anthrop,451101
"BS-SOCA: Sociology and Cultural Anthropology, BS",Sociology/Cultural Anthrop,451101
"BA-SOES: Sociology and Environmental Studies, BA",Sociology/Envr. Studies,451101
"BA-SOIA: Sociology and International Affairs, BA",Sociology/Intl Affairs,451101
"BA-SOPH: Sociology and Philosophy, BA",Sociology/Philosophy,451101
"BA-SOPO: Sociology and Political Science, BA",Sociology/Political Science,459999
"BA-SORL: Sociology and Religious Studies, BA",Sociology/Religious Studies,451101
"CERTG-SWES: Software Engineering Systems, Graduate Certificate",Software Engineering Systems,140903
"MS-SWES: Software Engineering Systems, MS",Software Engineering Systems,140903
"BA-SPAN: Spanish, BA",Spanish,160905
"BA-SPIA: Spanish and International Affairs, BA",Spanish/International Affairs,160905
"BA-SPLI: Spanish and Linguistics, BA",Spanish/Linguistics,160905
"BA-SPPH: Spanish and Public Health, BA",Spanish/Public Health,160905
"BS-SLPA: Speech-Language Pathology and Audiology, BS",Speech-Lang Pathol/Audiology,510204
"MS-SLPT: Speech-Language Pathology, MS",Speech-Language Pathology,510204
"BS-SLBN: Speech-Language Pathology and Audiology and Behavioral Neuroscience, BS",Speech-Lng Pth Aud/Behav Neuro,510204
"BS-SLHS: Speech-Language Pathology and Audiology and Human Services, BS",Speech-Lng Pth Aud/Human Serv,510204
"P-MSLD-SPLE: Sports Leadership, MSLD",Sports Leadership,310504
"MS-STAT: Statistics, MS",Statistics,270501
"MS-STAT-C: Statistics, MS—Connect",Statistics,270501
"BFA-STAR: Studio Art, BFA",Studio Art,500702
"CERTG-SCEM: Supply Chain Engineering Management, Graduate Certificate",Supply Chain Engineering Mgmt,140101
"CERTG-SUPC: Supply Chain Management, Graduate Certificate",Supply Chain Management,520203
"CERTG-SUPC-O: Supply Chain Management, Graduate Certificate—Online",Supply Chain Management,520203
"CERTG-SUCP: Sustainability and Climate Change Policy, Graduate Certificate",Sustain  Climate Chnge Policy,440501
"CERTG-SUBE: Sustainability and Business, Graduate Certificate",Sustainability and Business,520704
"CERTG-STEN: Sustainability Engineering, Graduate Certificate",Sustainability Engineering,144801
"CERTG-SUSC: Sustainability Sciences, Graduate Certificate",Sustainability Sciences,030104
"MSSBS-SUBS: Sustainable Building Systems, MSSBS",Sustainable Building Systems,149999
"CERTG-SESY: Sustainable Energy Systems, Graduate Certificate",Sustainable Energy Systems,142701
"MDES-SUEN: Sustainable Urban Environments, MDes—Two-Year Program",Sustainable Urban Environments,040401
"MDES-SUEN1: Sustainable Urban Environments, MDes—One-Year Program",Sustainable Urban Environments,040401
"CERTG-TELD: Technology Leadership, Graduate Certificate",Technology Leadership,520216
"MS-TNET: Telecommunication Networks, MS",Telecommunication Networks,110901
"BA-THEA: Theatre, BA",Theatre,500501
"BS-THEA: Theatre, BS",Theatre,500501
"BA-THID: Theatre and Interaction Design, BA",Theatre/Interaction Design,500501
"BS-THID: Theatre and Interaction Design, BS",Theatre/Interaction Design,500501
"BA-THJO: Theatre and Journalism, BA",Theatre/Journalism,500501
"CERTG-USLW: United States Law, Graduate Certificate",United States Law,220203
"CERTG-URBA: Urban Analytics, Graduate Certificate",Urban Analytics,451201
"MS-URBI: Urban Informatics, MS",Urban Informatics,111099
"MS-URPP: Urban Planning and Policy, MS",Urban Planning and Policy,451201
"CERTG-URBN: Urban Studies, Graduate Certificate",Urban Studies,451201
"P-CERTG-USAB: Usability, Graduate Certificate",Usability,111004
"CERTG-VCDV: Vaccine Development, Graduate Certificate",Vaccine Development,512006
"MS-WNEN: Wireless and Network Engineering, MS",Wireless  Network Engineering,141004
"CERTG-WOST: Women's, Gender, and Sexuality Studies, Graduate Certificate",Women's Gender  Sexuality Stu,050207
"CERTG-WGSL: Women, Gender, Sexuality, and the Law, Graduate Certificate","Women, Gender, Sexuality  Law",220299
